date,close,high,low,open
25.01.2016__00:00__AM,99.44,101.53,99.21,101.52
26.01.2016__00:00__AM,99.99,100.88,98.07,99.93
27.01.2016__00:00__AM,93.42,96.6289,93.34,96.04
28.01.2016__00:00__AM,94.09,94.52,92.39,93.79
29.01.2016__00:00__AM,97.34,97.34,94.35,94.79
01.02.2016__00:00__AM,96.43,96.71,95.4,96.47
02.02.2016__00:00__AM,94.48,96.04,94.28,95.42
03.02.2016__00:00__AM,96.35,96.84,94.08,95.0
04.02.2016__00:00__AM,96.6,97.33,95.19,95.86
05.02.2016__00:00__AM,94.02,96.92,93.69,96.52
08.02.2016__00:00__AM,95.01,95.7,93.04,93.13
09.02.2016__00:00__AM,94.99,95.94,93.93,94.29
10.02.2016__00:00__AM,94.27,96.35,94.1,95.92
11.02.2016__00:00__AM,93.7,94.72,92.59,93.79
12.02.2016__00:00__AM,93.99,94.5,93.01,94.19
16.02.2016__00:00__AM,96.64,96.85,94.61,95.02
17.02.2016__00:00__AM,98.12,98.21,96.15,96.67
18.02.2016__00:00__AM,96.26,98.89,96.091,98.84
19.02.2016__00:00__AM,96.04,96.7599,95.8,96.0
22.02.2016__00:00__AM,96.88,96.9,95.92,96.31
23.02.2016__00:00__AM,94.69,96.5,94.55,96.4
24.02.2016__00:00__AM,96.1,96.38,93.32,93.98
25.02.2016__00:00__AM,96.76,96.76,95.25,96.05
26.02.2016__00:00__AM,96.91,98.0237,96.58,97.2
29.02.2016__00:00__AM,96.69,98.23,96.65,96.86
01.03.2016__00:00__AM,100.53,100.77,97.42,97.65
02.03.2016__00:00__AM,100.75,100.89,99.64,100.51
03.03.2016__00:00__AM,101.5,101.7099,100.45,100.58
04.03.2016__00:00__AM,103.01,103.75,101.37,102.37
07.03.2016__00:00__AM,101.87,102.83,100.96,102.39
08.03.2016__00:00__AM,101.03,101.76,100.4,100.78
09.03.2016__00:00__AM,101.12,101.58,100.27,101.31
10.03.2016__00:00__AM,101.17,102.24,100.15,101.41
11.03.2016__00:00__AM,102.26,102.28,101.5,102.24
14.03.2016__00:00__AM,102.52,102.91,101.78,101.91
15.03.2016__00:00__AM,104.58,105.18,103.85,103.96
16.03.2016__00:00__AM,105.97,106.31,104.59,104.61
17.03.2016__00:00__AM,105.8,106.47,104.96,105.52
18.03.2016__00:00__AM,105.92,106.5,105.19,106.34
21.03.2016__00:00__AM,105.91,107.65,105.1401,105.93
22.03.2016__00:00__AM,106.72,107.29,105.21,105.25
23.03.2016__00:00__AM,106.13,107.07,105.9,106.48
24.03.2016__00:00__AM,105.67,106.25,104.89,105.47
28.03.2016__00:00__AM,105.19,106.19,105.06,106.0
29.03.2016__00:00__AM,107.68,107.79,104.88,104.89
30.03.2016__00:00__AM,109.56,110.42,108.6,108.65
31.03.2016__00:00__AM,108.99,109.9,108.88,109.72
01.04.2016__00:00__AM,109.99,110.0,108.2,108.78
04.04.2016__00:00__AM,111.12,112.19,110.27,110.42
05.04.2016__00:00__AM,109.81,110.73,109.42,109.51
06.04.2016__00:00__AM,110.96,110.98,109.2,110.23
07.04.2016__00:00__AM,108.54,110.42,108.121,109.95
08.04.2016__00:00__AM,108.66,109.77,108.17,108.91
11.04.2016__00:00__AM,109.02,110.61,108.83,108.97
12.04.2016__00:00__AM,110.44,110.5,108.66,109.34
13.04.2016__00:00__AM,112.04,112.34,110.8,110.8
14.04.2016__00:00__AM,112.1,112.39,111.33,111.62
15.04.2016__00:00__AM,109.85,112.3,109.73,112.11
18.04.2016__00:00__AM,107.48,108.95,106.94,108.89
19.04.2016__00:00__AM,106.91,108.0,106.23,107.88
20.04.2016__00:00__AM,107.13,108.09,106.06,106.64
21.04.2016__00:00__AM,105.97,106.93,105.52,106.93
22.04.2016__00:00__AM,105.68,106.48,104.62,105.01
25.04.2016__00:00__AM,105.08,105.65,104.51,105.0
26.04.2016__00:00__AM,104.35,105.3,103.91,103.91
27.04.2016__00:00__AM,97.82,98.71,95.68,96.0
28.04.2016__00:00__AM,94.83,97.88,94.25,97.61
29.04.2016__00:00__AM,93.74,94.72,92.51,93.99
02.05.2016__00:00__AM,93.64,94.08,92.4,93.965
03.05.2016__00:00__AM,95.18,95.74,93.68,94.2
04.05.2016__00:00__AM,94.19,95.9,93.82,95.2
05.05.2016__00:00__AM,93.24,94.07,92.68,94.0
06.05.2016__00:00__AM,92.72,93.45,91.85,93.37
09.05.2016__00:00__AM,92.79,93.77,92.59,93.0
10.05.2016__00:00__AM,93.42,93.57,92.11,93.33
11.05.2016__00:00__AM,92.51,93.57,92.46,93.48
12.05.2016__00:00__AM,90.34,92.78,89.47,92.72
13.05.2016__00:00__AM,90.52,91.67,90.0,90.0
16.05.2016__00:00__AM,93.88,94.39,91.65,92.39
17.05.2016__00:00__AM,93.49,94.7,93.01,94.55
18.05.2016__00:00__AM,94.56,95.21,93.89,94.16
19.05.2016__00:00__AM,94.2,94.64,93.57,94.64
20.05.2016__00:00__AM,95.22,95.43,94.52,94.64
23.05.2016__00:00__AM,96.43,97.19,95.67,95.87
24.05.2016__00:00__AM,97.9,98.09,96.84,97.22
25.05.2016__00:00__AM,99.62,99.74,98.11,98.67
26.05.2016__00:00__AM,100.41,100.73,98.64,99.68
27.05.2016__00:00__AM,100.35,100.47,99.245,99.44
31.05.2016__00:00__AM,99.86,100.4,98.82,99.6
01.06.2016__00:00__AM,98.46,99.54,98.33,99.02
02.06.2016__00:00__AM,97.72,97.84,96.63,97.6
03.06.2016__00:00__AM,97.92,98.27,97.45,97.79
06.06.2016__00:00__AM,98.63,101.89,97.55,97.99
07.06.2016__00:00__AM,99.03,99.87,98.96,99.25
08.06.2016__00:00__AM,98.94,99.56,98.68,99.02
09.06.2016__00:00__AM,99.65,99.99,98.46,98.5
10.06.2016__00:00__AM,98.83,99.3457,98.48,98.53
13.06.2016__00:00__AM,97.34,99.12,97.1,98.69
14.06.2016__00:00__AM,97.46,98.475,96.75,97.32
15.06.2016__00:00__AM,97.14,98.41,97.03,97.82
16.06.2016__00:00__AM,97.55,97.75,96.07,96.45
17.06.2016__00:00__AM,95.33,96.65,95.3,96.62
20.06.2016__00:00__AM,95.1,96.57,95.03,96.0
21.06.2016__00:00__AM,95.91,96.35,94.676,94.94
22.06.2016__00:00__AM,95.55,96.89,95.35,96.25
23.06.2016__00:00__AM,96.1,96.29,95.25,95.94
24.06.2016__00:00__AM,93.4,94.655,92.65,92.91
27.06.2016__00:00__AM,92.04,93.05,91.5,93.0
28.06.2016__00:00__AM,93.59,93.66,92.14,92.9
29.06.2016__00:00__AM,94.4,94.55,93.63,93.97
30.06.2016__00:00__AM,95.6,95.77,94.3,94.44
01.07.2016__00:00__AM,95.89,96.465,95.33,95.49
05.07.2016__00:00__AM,94.99,95.4,94.46,95.39
06.07.2016__00:00__AM,95.53,95.66,94.37,94.6
07.07.2016__00:00__AM,95.94,96.5,95.62,95.7
08.07.2016__00:00__AM,96.68,96.89,96.05,96.49
11.07.2016__00:00__AM,96.98,97.65,96.73,96.75
12.07.2016__00:00__AM,97.42,97.7,97.12,97.17
13.07.2016__00:00__AM,96.87,97.67,96.84,97.41
14.07.2016__00:00__AM,98.79,98.99,97.32,97.39
15.07.2016__00:00__AM,98.78,99.3,98.5,98.92
18.07.2016__00:00__AM,99.83,100.13,98.6,98.7
19.07.2016__00:00__AM,99.87,100.0,99.34,99.56
20.07.2016__00:00__AM,99.96,100.46,99.735,100.0
21.07.2016__00:00__AM,99.43,101.0,99.13,99.83
22.07.2016__00:00__AM,98.66,99.3,98.31,99.26
25.07.2016__00:00__AM,97.34,98.84,96.92,98.25
26.07.2016__00:00__AM,96.67,97.97,96.42,96.82
27.07.2016__00:00__AM,102.95,104.35,102.75,104.265
28.07.2016__00:00__AM,104.34,104.45,102.82,102.83
29.07.2016__00:00__AM,104.21,104.55,103.68,104.19
01.08.2016__00:00__AM,106.05,106.15,104.41,104.41
02.08.2016__00:00__AM,104.48,106.07,104.0,106.05
03.08.2016__00:00__AM,105.79,105.84,104.77,104.81
04.08.2016__00:00__AM,105.87,106.0,105.28,105.58
05.08.2016__00:00__AM,107.48,107.65,106.18,106.27
08.08.2016__00:00__AM,108.37,108.37,107.16,107.52
09.08.2016__00:00__AM,108.81,108.94,108.01,108.23
10.08.2016__00:00__AM,108.0,108.9,107.76,108.71
11.08.2016__00:00__AM,107.93,108.93,107.85,108.52
12.08.2016__00:00__AM,108.18,108.44,107.78,107.78
15.08.2016__00:00__AM,109.48,109.54,108.08,108.14
16.08.2016__00:00__AM,109.38,110.23,109.21,109.63
17.08.2016__00:00__AM,109.22,109.37,108.34,109.1
18.08.2016__00:00__AM,109.08,109.6,109.02,109.23
19.08.2016__00:00__AM,109.36,109.69,108.36,108.77
22.08.2016__00:00__AM,108.51,109.1,107.85,108.86
23.08.2016__00:00__AM,108.85,109.32,108.53,108.59
24.08.2016__00:00__AM,108.03,108.75,107.68,108.565
25.08.2016__00:00__AM,107.57,107.88,106.68,107.39
26.08.2016__00:00__AM,106.94,107.95,106.31,107.41
29.08.2016__00:00__AM,106.82,107.44,106.29,106.62
30.08.2016__00:00__AM,106.0,106.5,105.5,105.8
31.08.2016__00:00__AM,106.1,106.5699,105.64,105.66
01.09.2016__00:00__AM,106.73,106.8,105.62,106.14
02.09.2016__00:00__AM,107.73,108.0,106.82,107.7
06.09.2016__00:00__AM,107.7,108.3,107.51,107.9
07.09.2016__00:00__AM,108.36,108.76,107.07,107.83
08.09.2016__00:00__AM,105.52,107.27,105.24,107.25
09.09.2016__00:00__AM,103.13,105.72,103.13,104.64
12.09.2016__00:00__AM,105.44,105.72,102.53,102.65
13.09.2016__00:00__AM,107.95,108.79,107.24,107.51
14.09.2016__00:00__AM,111.77,113.03,108.6,108.73
15.09.2016__00:00__AM,115.57,115.73,113.49,113.86
16.09.2016__00:00__AM,114.92,116.13,114.04,115.12
19.09.2016__00:00__AM,113.58,116.18,113.25,115.19
20.09.2016__00:00__AM,113.57,114.12,112.51,113.05
21.09.2016__00:00__AM,113.55,113.989,112.441,113.85
22.09.2016__00:00__AM,114.62,114.94,114.0,114.35
23.09.2016__00:00__AM,112.71,114.79,111.55,114.42
26.09.2016__00:00__AM,112.88,113.39,111.55,111.64
27.09.2016__00:00__AM,113.09,113.18,112.34,113.0
28.09.2016__00:00__AM,113.95,114.64,113.43,113.69
29.09.2016__00:00__AM,112.18,113.8,111.8,113.16
30.09.2016__00:00__AM,113.05,113.37,111.8,112.46
03.10.2016__00:00__AM,112.52,113.05,112.28,112.71
04.10.2016__00:00__AM,113.0,114.31,112.63,113.06
05.10.2016__00:00__AM,113.05,113.66,112.69,113.4
06.10.2016__00:00__AM,113.89,114.34,113.13,113.7
07.10.2016__00:00__AM,114.06,114.56,113.51,114.31
10.10.2016__00:00__AM,116.05,116.75,114.72,115.02
11.10.2016__00:00__AM,116.3,118.69,116.2,117.7
12.10.2016__00:00__AM,117.34,117.98,116.75,117.35
13.10.2016__00:00__AM,116.98,117.44,115.72,116.79
14.10.2016__00:00__AM,117.63,118.17,117.13,117.88
17.10.2016__00:00__AM,117.55,117.84,116.78,117.33
18.10.2016__00:00__AM,117.47,118.21,117.45,118.18
19.10.2016__00:00__AM,117.12,117.76,113.8,117.25
20.10.2016__00:00__AM,117.06,117.38,116.33,116.86
21.10.2016__00:00__AM,116.6,116.91,116.28,116.81
24.10.2016__00:00__AM,117.65,117.74,117.0,117.1
25.10.2016__00:00__AM,118.25,118.36,117.31,117.95
26.10.2016__00:00__AM,115.59,115.7,113.31,114.31
27.10.2016__00:00__AM,114.48,115.86,114.1,115.39
28.10.2016__00:00__AM,113.72,115.21,113.45,113.87
31.10.2016__00:00__AM,113.54,114.23,113.2,113.65
01.11.2016__00:00__AM,111.49,113.77,110.53,113.46
02.11.2016__00:00__AM,111.59,112.35,111.23,111.4
03.11.2016__00:00__AM,109.83,111.46,109.55,110.98
04.11.2016__00:00__AM,108.84,110.25,108.11,108.53
07.11.2016__00:00__AM,110.41,110.51,109.46,110.08
08.11.2016__00:00__AM,111.06,111.72,109.7,110.31
